Title,Author,Average_Rating
The Iliad / The Odyssey,Homer,4.07
His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.29
The Silmarillion,J.R.R. Tolkien,4.03
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,3.51
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.29
"Shōgun (Asian Saga, #1)",James Clavell,4.41
Schindler’s List,Thomas Keneally,4.34
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,4.42
The Trial,Franz Kafka,3.94
The Velveteen Rabbit,Margery Williams Bianco,4.31
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.12
Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97
Man's Search for Meaning,Viktor E. Frankl,4.37
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.09
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.26
The Sun Also Rises,Ernest Hemingway,3.79
The Green Mile,Stephen        King,4.49
"Fallen (Fallen, #1)",Lauren Kate,3.72
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,4.37
A Confederacy of Dunces,John Kennedy Toole,3.89
The Screwtape Letters,C.S. Lewis,4.27
The Lord of the Rings,J.R.R. Tolkien,4.54
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.57
The Crucible,Arthur Miller,3.61
Cat’s Cradle,Kurt Vonnegut Jr.,4.15
The Secret Magdalene,Ki Longfellow,4.14
Misery,Stephen        King,4.23
The Wind in the Willows,Kenneth Grahame,4.02
A Light in the Attic,Shel Silverstein,4.36
"Spirit Bound (Vampire Academy, #5)",Richelle Mead,4.32
The Phantom of the Opera,Gaston Leroux,3.96
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.42
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.07
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.48
The God of Small Things,Arundhati Roy,3.96
Blindness,José Saramago,4.18
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.40
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,4.02
The House of the Spirits,Isabel Allende,4.29
The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,4.42
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.66
Girl with a Pearl Earring,Tracy Chevalier,3.93
"Uglies (Uglies, #1)",Scott Westerfeld,3.84
The Wind-Up Bird Chronicle,Haruki Murakami,4.14
Norwegian Wood,Haruki Murakami,3.99
Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,4.14
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19
Speak,Laurie Halse Anderson,4.05
Paper Towns,John Green,3.70
She’s Come Undone,Wally Lamb,3.92
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.76
"Marked (House of Night, #1)",P.C. Cast,3.82
Kafka on the Shore,Haruki Murakami,4.12
The Shack: Where Tragedy Confronts Eternity,William Paul Young,3.84
The Sound and the Fury,William Faulkner,3.86
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,4.06
The Complete Calvin and Hobbes,Bill Watterson,4.81
For Whom the Bell Tolls,Ernest Hemingway,3.99
The Complete Sherlock Holmes,Arthur Conan Doyle,4.51
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.01
Othello,William Shakespeare,3.89
The Idiot,Fyodor Dostoevsky,4.21
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,3.84
Island of the Blue Dolphins,Scott O'Dell,3.88
Stranger in a Strange Land,Robert A. Heinlein,3.92
